eval_video/return_s/h6_unicycle_right,media/eval_video_s/h6_unicycle_right,timing/sps_agg,eval_video/return_s/h1_thrust_over_ball,eval_avg/return_s/h8_unicycle_balance,media/eval_video_s/h1_thrust_over_ball,_runtime,eval_video/len_s/h2_one_wheel_car,eval_video/return_s/h3_point_the_thruster,eval_avg/return_s/h7_unicycle_left,_step,media/eval_video_s/h2_one_wheel_car,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/len_s/h6_unicycle_right,eval_video/return_s/h5_rotate_fall,timing/num_env_steps,media/eval_video_s/h8_unicycle_balance,episode_solved,eval_video/return_s/h7_unicycle_left,eval_video/len_s/h9_explode_then_thrust_over,media/eval_video_s/h3_point_the_thruster,media/eval_video_s/h0_weak_thrust,eval_avg/solve_rate_s/h3_point_the_thruster,media/eval_video_s/h9_explode_then_thrust_over,eval_avg/solve_rate_s/h5_rotate_fall,eval_video/len_s/h8_unicycle_balance,eval_video/return_s/h9_explode_then_thrust_over,eval_video/len_s/h0_weak_thrust,eval_avg/solve_rate_s/h1_thrust_over_ball,episode_length,eval_video/len_s/h4_thrust_aim,eval_avg/return_s/h9_explode_then_thrust_over,timing/num_updates,eval_avg/return_s/h5_rotate_fall,eval_video/return_s/h2_one_wheel_car,eval_avg/return_s/h3_point_the_thruster,eval_avg/return_s/h2_one_wheel_car,eval_video/len_s/h3_point_the_thruster,media/eval_video_s/h5_rotate_fall,eval_avg/return_s/h6_unicycle_right,eval/mean_eval_eplen,eval_video/return_s/h0_weak_thrust,media/eval_video_s/h4_thrust_aim,eval_avg/solve_rate_s/h0_weak_thrust,eval/mean_eval_solve,eval_video/return_s/h8_unicycle_balance,timing/sps,media/eval_video_s/h7_unicycle_left,eval/mean_eval_return,eval_avg/solve_rate_s/h7_unicycle_left,eval_avg/solve_rate_s/h9_explode_then_thrust_over,eval_avg/return_s/h4_thrust_aim,eval_avg/return_s/h1_thrust_over_ball,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h8_unicycle_balance,episode_return,eval_video/len_s/h5_rotate_fall,eval_video/return_s/h4_thrust_aim,_timestamp,eval_avg/solve_rate_s/h4_thrust_aim,num_completed_episodes,eval_avg/return_s/h0_weak_thrust,eval_video/len_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h6_unicycle_right
0.16407549381256104,"{'width': 125, 'height': 125, 'sha256': '8fad49bc2023885d6fcae6c733231a1005b6b065fd58263c7afce80e6828f790', 'path': 'media/videos/media/eval_video_s/h6_unicycle_right_0_8fad49bc2023885d6fca.gif', 'size': 20183, '_type': 'video-file'}",0.0,-0.5397071838378906,-0.2654978930950165,"{'path': 'media/videos/media/eval_video_s/h1_thrust_over_ball_0_c38063ae8837c73ec47d.gif', 'size': 5211, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': 'c38063ae8837c73ec47dbb3343cfd634977c2694be5fa60c2c64986a3e5bf183'}",219.916619141,255.0,-0.046648383140563965,-0.10238359123468399,0,"{'size': 14582, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': 'f3c5b93d996b1eaafd884004af174e35e6766963c06351a1996100447e25836b', 'path': 'media/videos/media/eval_video_s/h2_one_wheel_car_0_f3c5b93d996b1eaafd88.gif'}",0.0,255.0,-0.20924293994903564,0.0,"{'size': 3905, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '0e08e33b11343fcce3175cdfca2ad2ad69774661f28c03769f441398352f821a', 'path': 'media/videos/media/eval_video_s/h8_unicycle_balance_0_0e08e33b11343fcce317.gif'}",0.0,-0.17976433038711548,255.0,"{'path': 'media/videos/media/eval_video_s/h3_point_the_thruster_0_0e07a942b6e840722e1c.gif', 'size': 24078, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '0e07a942b6e840722e1c9327c71776a1689a410ad3d94183635640b4874feca5'}","{'sha256': '46f2a1cb52c94e82347539d6e5dd1f125ccc28e1ee538696e7bb1110d23fd9a4', 'path': 'media/videos/media/eval_video_s/h0_weak_thrust_0_46f2a1cb52c94e823475.gif', 'size': 5076, '_type': 'video-file', 'width': 125, 'height': 125}",0.15000000596046448,"{'sha256': '81050a55d7cf49d52a6d59cc06a3848508f712e0018fba2feb5d725da6dc9398', 'path': 'media/videos/media/eval_video_s/h9_explode_then_thrust_over_0_81050a55d7cf49d52a6d.gif', 'size': 51005, '_type': 'video-file', 'width': 125, 'height': 125}",0.25,21.0,-0.6448535919189453,23.0,0.0,256.0,24.0,-0.4476757049560547,0,0.2956817150115967,-0.048863813281059265,0.14636047184467316,-0.050025928765535355,255.0,"{'size': 3803, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': 'fddf84203404391a247f5ae1f0e95718c0b7f4ea2a0297c0ae1e3203ee6eeeed', 'path': 'media/videos/media/eval_video_s/h5_rotate_fall_0_fddf84203404391a247f.gif'}",0.06041496992111206,160.53001403808594,-0.7483974695205688,"{'sha256': '31ff6efeab9fca5ba69404ab5cf62647f9f462a55473368579718c9a08959889', 'path': 'media/videos/media/eval_video_s/h4_thrust_aim_0_31ff6efeab9fca5ba694.gif', 'size': 4033, '_type': 'video-file', 'width': 125, 'height': 125}",0.0,0.055000003427267075,-0.5168932676315308,10477.487696042484,"{'size': 20203, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '3398f3e48f0e77fd72f34c42e2e88f2d24441f1b79b7dc14e750a1be3d5b2162', 'path': 'media/videos/media/eval_video_s/h7_unicycle_left_0_3398f3e48f0e77fd72f3.gif'}",-0.16583311557769775,0.0,0.0,0.06900662183761597,-0.5540512204170227,255.0,0.15000000596046448,0.2194231003522873,26.0,-0.3299311399459839,1763161422.2179115,0.0,6144,-0.8101604580879211,20.0,0.0
,,8194.660879636402,,,,269.081993472,,,,1,,,,,2048000.0,,0.0,,,,,,,,,,,,256.0,,,1,,,,,,,,,,,,,,37611.314266540314,,,,,,,,,0.21860504150390625,,,1763161471.3809392,,8192,,,
,,13694.949116993655,,,,318.252362672,,,,2,,,,,4096000.0,,0.00012205541133880615,,,,,,,,,,,,255.9732666015625,,,2,,,,,,,,,,,,,,41651.79753410365,,,,,,,,,0.2184235006570816,,,1763161520.55065,,8193,,,
,,17639.75218805662,,,,367.466101404,,,,3,,,,,6144000.0,,0.0,,,,,,,,,,,,256.0,,,3,,,,,,,,,,,,,,41612.6161189154,,,,,,,,,0.21803607046604156,,,1763161569.7661836,,8192,,,
,,20607.893529992383,,,,416.681698779,,,,4,,,,,8192000.0,,0.0001220703125,,,,,,,,,,,,255.9888916015625,,,4,,,,,,,,,,,,,,41614.70848432506,,,,,,,,,0.22027729451656342,,,1763161618.9796221,,8192,,,
,,22920.515799252924,,,,465.926642822,,,,5,,,,,10240000.0,,0.0,,,,,,,,,,,,256.0,,,5,,,,,,,,,,,,,,41589.04010157138,,,,,,,,,0.2186170220375061,,,1763161668.2233648,,8192,,,
,,24772.925676974748,,,,515.187214156,,,,6,,,,,12288000.0,,0.00012205541133880615,,,,,,,,,,,,255.9725341796875,,,6,,,,,,,,,,,,,,41571.887890014914,,,,,,,,,0.21623080968856812,,,1763161717.4876142,,8193,,,
,,26291.665914687084,,,,564.430415973,,,,7,,,,,14336000.0,,0.0,,,,,,,,,,,,256.0,,,7,,,,,,,,,,,,,,41590.1242389264,,,,,,,,,0.22019842267036438,,,1763161766.7298403,,8192,,,
,,27557.71805121617,,,,613.695702309,,,,8,,,,,16384000.0,,0.00012205541133880615,,,,,,,,,,,,255.97265625,,,8,,,,,,,,,,,,,,41570.130556513934,,,,,,,,,0.21944376826286316,,,1763161815.9959064,,8193,,,
,,28630.063384324807,,,,662.961392363,,,,9,,,,,18432000.0,,0.0,,,,,,,,,,,,256.0,,,9,,,,,,,,,,,,,,41571.266619934206,,,,,,,,,0.21841083467006683,,,1763161865.2611072,,8189,,,
