eval_video/len_s/h8_unicycle_balance,episode_length,eval_avg/solve_rate_s/h0_weak_thrust,eval_video/len_s/h2_one_wheel_car,timing/num_updates,eval_avg/solve_rate_s/h5_rotate_fall,eval/mean_eval_return,eval_video/len_s/h5_rotate_fall,num_completed_episodes,eval/mean_eval_eplen,eval_video/len_s/h1_thrust_over_ball,_timestamp,eval_video/return_s/h7_unicycle_left,eval_video/len_s/h3_point_the_thruster,media/eval_video_s/h4_thrust_aim,eval_video/return_s/h1_thrust_over_ball,media/eval_video_s/h7_unicycle_left,eval_video/len_s/h0_weak_thrust,eval_avg/solve_rate_s/h3_point_the_thruster,timing/sps,media/eval_video_s/h8_unicycle_balance,eval_avg/solve_rate_s/h7_unicycle_left,episode_return,eval_avg/return_s/h3_point_the_thruster,eval_avg/solve_rate_s/h9_explode_then_thrust_over,eval_avg/return_s/h7_unicycle_left,eval_avg/return_s/h1_thrust_over_ball,timing/num_env_steps,eval_avg/solve_rate_s/h8_unicycle_balance,media/eval_video_s/h1_thrust_over_ball,eval_video/return_s/h2_one_wheel_car,eval_avg/return_s/h4_thrust_aim,eval_avg/solve_rate_s/h4_thrust_aim,eval_video/return_s/h6_unicycle_right,eval_video/len_s/h4_thrust_aim,media/eval_video_s/h2_one_wheel_car,media/eval_video_s/h6_unicycle_right,eval_video/return_s/h5_rotate_fall,media/eval_video_s/h3_point_the_thruster,eval_video/return_s/h3_point_the_thruster,eval_avg/solve_rate_s/h2_one_wheel_car,eval_avg/return_s/h6_unicycle_right,eval_video/return_s/h8_unicycle_balance,eval_video/return_s/h9_explode_then_thrust_over,media/eval_video_s/h9_explode_then_thrust_over,_runtime,eval/mean_eval_solve,eval_avg/return_s/h5_rotate_fall,episode_solved,eval_video/len_s/h9_explode_then_thrust_over,eval_video/len_s/h6_unicycle_right,eval_avg/return_s/h0_weak_thrust,eval_avg/return_s/h8_unicycle_balance,media/eval_video_s/h5_rotate_fall,_step,eval_video/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h1_thrust_over_ball,eval_avg/return_s/h2_one_wheel_car,media/eval_video_s/h0_weak_thrust,timing/sps_agg,eval_avg/return_s/h9_explode_then_thrust_over,eval_avg/solve_rate_s/h6_unicycle_right,eval_video/len_s/h7_unicycle_left,eval_video/return_s/h4_thrust_aim
21.0,251.14317321777344,0.0,255.0,0,0.25,-0.1658332347869873,26.0,6286,160.53001403808594,20.0,1763164066.6393108,-0.17976433038711548,255.0,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '31ff6efeab9fca5ba69404ab5cf62647f9f462a55473368579718c9a08959889', 'path': 'media/videos/media/eval_video_s/h4_thrust_aim_0_31ff6efeab9fca5ba694.gif', 'size': 4033}",-0.5397071838378906,"{'height': 125, 'sha256': '3398f3e48f0e77fd72f34c42e2e88f2d24441f1b79b7dc14e750a1be3d5b2162', 'path': 'media/videos/media/eval_video_s/h7_unicycle_left_0_3398f3e48f0e77fd72f3.gif', 'size': 20203, '_type': 'video-file', 'width': 125}",23.0,0.15000000596046448,10691.529726658755,"{'sha256': '0e08e33b11343fcce3175cdfca2ad2ad69774661f28c03769f441398352f821a', 'path': 'media/videos/media/eval_video_s/h8_unicycle_balance_0_0e08e33b11343fcce317.gif', 'size': 3905, '_type': 'video-file', 'width': 125, 'height': 125}",0.0,0.5858657956123352,0.14636047184467316,0.0,-0.10238359123468399,-0.5540512204170227,0.0,0.15000000596046448,"{'sha256': 'c38063ae8837c73ec47dbb3343cfd634977c2694be5fa60c2c64986a3e5bf183', 'path': 'media/videos/media/eval_video_s/h1_thrust_over_ball_0_c38063ae8837c73ec47d.gif', 'size': 5211, '_type': 'video-file', 'width': 125, 'height': 125}",-0.04886362701654434,0.06900661438703537,0.0,0.16407549381256104,24.0,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '8ca7d81ec6d2e33ea2051bffcccd78d54c9ad4c7df1bc7bc972863f5fdd6fddd', 'path': 'media/videos/media/eval_video_s/h2_one_wheel_car_0_8ca7d81ec6d2e33ea205.gif', 'size': 14581}","{'size': 20183, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '8fad49bc2023885d6fcae6c733231a1005b6b065fd58263c7afce80e6828f790', 'path': 'media/videos/media/eval_video_s/h6_unicycle_right_0_8fad49bc2023885d6fca.gif'}",-0.20924293994903564,"{'size': 24078, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '0e07a942b6e840722e1c9327c71776a1689a410ad3d94183635640b4874feca5', 'path': 'media/videos/media/eval_video_s/h3_point_the_thruster_0_0e07a942b6e840722e1c.gif'}",-0.046648383140563965,0.0,0.06041496992111206,-0.5168932676315308,-0.6448535919189453,"{'path': 'media/videos/media/eval_video_s/h9_explode_then_thrust_over_0_81050a55d7cf49d52a6d.gif', 'size': 51005, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '81050a55d7cf49d52a6d59cc06a3848508f712e0018fba2feb5d725da6dc9398'}",215.945062293,0.055000003427267075,0.2956817150115967,0.02258988283574581,255.0,255.0,-0.8101604580879211,-0.2654978930950165,"{'path': 'media/videos/media/eval_video_s/h5_rotate_fall_0_fddf84203404391a247f.gif', 'size': 3803, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': 'fddf84203404391a247f5ae1f0e95718c0b7f4ea2a0297c0ae1e3203ee6eeeed'}",0,-0.7483974695205688,0.0,-0.05002593994140625,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '46f2a1cb52c94e82347539d6e5dd1f125ccc28e1ee538696e7bb1110d23fd9a4', 'path': 'media/videos/media/eval_video_s/h0_weak_thrust_0_46f2a1cb52c94e823475.gif', 'size': 5076}",0.0,-0.44767695665359497,0.0,255.0,-0.3299311399459839
,252.5345916748047,,,1,,,,8326,,,1763164115.7723694,,,,,,,,37594.301710836044,,,0.5791410207748413,,,,,2048000.0,,,,,,,,,,,,,,,,,,265.089530754,,,0.016094163060188293,,,,,,1,,,,,8324.178742724183,,,,
,252.20648193359375,,,2,,,,8340,,,1763164164.9299572,,,,,,,,41662.17489548498,,,0.5802032351493835,,,,,4096000.0,,,,,,,,,,,,,,,,,,314.244407944,,,0.01774580404162407,,,,,,2,,,,,13875.922742864745,,,,
,252.46902465820312,,,3,,,,8328,,,1763164214.13215,,,,,,,,41623.79322909758,,,0.5773243308067322,,,,,6144000.0,,,,,,,,,,,,,,,,,,363.448589468,,,0.01645052805542946,,,,,,3,,,,,17840.22871073212,,,,
,252.5485382080078,,,4,,,,8324,,,1763164263.3520095,,,,,,,,41609.49056250574,,,0.5803877115249634,,,,,8192000.0,,,,,,,,,,,,,,,,,,412.663736508,,,0.016098029911518097,,,,,,4,,,,,20812.492890171754,,,,
,252.3284912109375,,,5,,,,8323,,,1763164312.5698807,,,,,,,,41610.766650352925,,,0.5796754956245422,,,,,10240000.0,,,,,,,,,,,,,,,,,,461.888141889,,,0.017181305214762688,,,,,,5,,,,,23124.1141095197,,,,
,252.4517822265625,,,6,,,,8285,,,1763164361.7948825,,,,,,,,41605.40180364326,,,0.5755207538604736,,,,,12288000.0,,,,,,,,,,,,,,,,,,511.107863114,,,0.016535907983779907,,,,,,6,,,,,24972.96260199971,,,,
,252.04249572753906,,,7,,,,8188,,,1763164411.0184708,,,,,,,,41605.7246348175,,,0.5800334215164185,,,,,14336000.0,,,,,,,,,,,,,,,,,,560.334512739,,,0.018441621214151382,,,,,,7,,,,,26485.556507791902,,,,
,252.4735870361328,,,8,,,,7952,,,1763164460.2731302,,,,,,,,41580.02083663802,,,0.5753809809684753,,,,,16384000.0,,,,,,,,,,,,,,,,,,609.592566263,,,0.016473842784762383,,,,,,8,,,,,27744.541545094995,,,,
,252.0542755126953,,,9,,,,7922,,,1763164509.5312474,,,,,,,,41576.52124313351,,,0.5804579257965088,,,,,18432000.0,,,,,,,,,,,,,,,,,,658.848880049,,,0.01855592057108879,,,,,,9,,,,,28809.49169905825,,,,
