eval_avg/return_s/h9_explode_then_thrust_over,eval_avg/solve_rate_s/h5_rotate_fall,eval_avg/return_s/h3_point_the_thruster,_step,eval_video/len_s/h7_unicycle_left,media/eval_video_s/h6_unicycle_right,eval_video/return_s/h6_unicycle_right,eval_avg/solve_rate_s/h9_explode_then_thrust_over,eval_video/return_s/h5_rotate_fall,eval_avg/return_s/h8_unicycle_balance,eval_avg/return_s/h7_unicycle_left,eval_avg/solve_rate_s/h8_unicycle_balance,media/eval_video_s/h4_thrust_aim,eval_avg/return_s/h4_thrust_aim,eval_video/return_s/h9_explode_then_thrust_over,timing/sps,media/eval_video_s/h9_explode_then_thrust_over,eval_video/len_s/h3_point_the_thruster,_timestamp,eval_video/len_s/h8_unicycle_balance,eval_video/return_s/h0_weak_thrust,eval_avg/return_s/h5_rotate_fall,eval_video/return_s/h7_unicycle_left,eval_video/len_s/h5_rotate_fall,timing/num_updates,eval_video/len_s/h9_explode_then_thrust_over,episode_return,eval_video/return_s/h2_one_wheel_car,eval_video/return_s/h4_thrust_aim,timing/num_env_steps,timing/sps_agg,episode_length,media/eval_video_s/h0_weak_thrust,episode_solved,eval_video/return_s/h3_point_the_thruster,media/eval_video_s/h8_unicycle_balance,eval/mean_eval_solve,media/eval_video_s/h1_thrust_over_ball,media/eval_video_s/h2_one_wheel_car,num_completed_episodes,eval_avg/return_s/h6_unicycle_right,eval_avg/solve_rate_s/h7_unicycle_left,eval_video/return_s/h1_thrust_over_ball,media/eval_video_s/h7_unicycle_left,eval_avg/return_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h6_unicycle_right,eval_avg/solve_rate_s/h1_thrust_over_ball,eval_video/len_s/h2_one_wheel_car,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/len_s/h1_thrust_over_ball,eval/mean_eval_return,eval_avg/return_s/h2_one_wheel_car,eval_video/len_s/h6_unicycle_right,eval_video/len_s/h0_weak_thrust,eval_avg/solve_rate_s/h4_thrust_aim,_runtime,eval_video/len_s/h4_thrust_aim,eval_video/return_s/h8_unicycle_balance,eval_avg/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h0_weak_thrust,eval/mean_eval_eplen,media/eval_video_s/h5_rotate_fall,media/eval_video_s/h3_point_the_thruster,eval_avg/solve_rate_s/h3_point_the_thruster
-0.44767871499061584,0.25,0.14636047184467316,0,255.0,"{'size': 20183, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '8fad49bc2023885d6fcae6c733231a1005b6b065fd58263c7afce80e6828f790', 'path': 'media/videos/media/eval_video_s/h6_unicycle_right_0_8fad49bc2023885d6fca.gif'}",0.16407549381256104,0.0,-0.20924293994903564,-0.2654978930950165,-0.10238359123468399,0.15000000596046448,"{'size': 4033, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '31ff6efeab9fca5ba69404ab5cf62647f9f462a55473368579718c9a08959889', 'path': 'media/videos/media/eval_video_s/h4_thrust_aim_0_31ff6efeab9fca5ba694.gif'}",0.06900660693645477,-0.6448535919189453,10775.578334334296,"{'path': 'media/videos/media/eval_video_s/h9_explode_then_thrust_over_0_81050a55d7cf49d52a6d.gif', 'size': 51005, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '81050a55d7cf49d52a6d59cc06a3848508f712e0018fba2feb5d725da6dc9398'}",255.0,1763174606.7374315,21.0,-0.7483974695205688,0.2956817150115967,-0.17976433038711548,26.0,0,255.0,1.2061374187469482,-0.04886362701654434,-0.3299311399459839,0.0,0.0,75.00907897949219,"{'size': 5076, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '46f2a1cb52c94e82347539d6e5dd1f125ccc28e1ee538696e7bb1110d23fd9a4', 'path': 'media/videos/media/eval_video_s/h0_weak_thrust_0_46f2a1cb52c94e823475.gif'}",0.8486484289169312,-0.046648383140563965,"{'size': 3905, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '0e08e33b11343fcce3175cdfca2ad2ad69774661f28c03769f441398352f821a', 'path': 'media/videos/media/eval_video_s/h8_unicycle_balance_0_0e08e33b11343fcce317.gif'}",0.055000003427267075,"{'sha256': 'c38063ae8837c73ec47dbb3343cfd634977c2694be5fa60c2c64986a3e5bf183', 'path': 'media/videos/media/eval_video_s/h1_thrust_over_ball_0_c38063ae8837c73ec47d.gif', 'size': 5211, '_type': 'video-file', 'width': 125, 'height': 125}","{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': 'dd575682524a13699edbe73c16ae7e3273e404379874ef6e206a6b34328c6bee', 'path': 'media/videos/media/eval_video_s/h2_one_wheel_car_0_dd575682524a13699edb.gif', 'size': 14575}",25008,0.06041496992111206,0.0,-0.5397071838378906,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '3398f3e48f0e77fd72f34c42e2e88f2d24441f1b79b7dc14e750a1be3d5b2162', 'path': 'media/videos/media/eval_video_s/h7_unicycle_left_0_3398f3e48f0e77fd72f3.gif', 'size': 20203}",-0.5540512204170227,0.0,0.0,255.0,0.0,20.0,-0.16583339869976044,-0.050025951117277145,255.0,23.0,0.0,213.92511286,24.0,-0.5168932676315308,-0.8101604580879211,0.0,160.53001403808594,"{'height': 125, 'sha256': 'fddf84203404391a247f5ae1f0e95718c0b7f4ea2a0297c0ae1e3203ee6eeeed', 'path': 'media/videos/media/eval_video_s/h5_rotate_fall_0_fddf84203404391a247f.gif', 'size': 3803, '_type': 'video-file', 'width': 125}","{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '0e07a942b6e840722e1c9327c71776a1689a410ad3d94183635640b4874feca5', 'path': 'media/videos/media/eval_video_s/h3_point_the_thruster_0_0e07a942b6e840722e1c.gif', 'size': 24078}",0.15000000596046448
,,,1,,,,,,,,,,,,36815.62617593123,,,1763174656.4987552,,,,,,1,,1.1626003980636597,,,2048000.0,8335.763735136086,82.15204620361328,,0.818108856678009,,,,,,24927,,,,,,,,,,,,,,,,263.693552664,,,,,,,,
,,,2,,,,,,,,,,,,41142.58923023842,,,1763174706.2763047,,,,,,2,,1.1587783098220825,,,4096000.0,13862.826174308007,82.75506591796875,,0.8150923252105713,,,,,,24688,,,,,,,,,,,,,,,,313.468397609,,,,,,,,
,,,3,,,,,,,,,,,,41088.51878454625,,,1763174756.12101,,,,,,3,,1.1594899892807007,,,6144000.0,17792.70517891884,82.69501495361328,,0.8148596882820129,,,,,,24765,,,,,,,,,,,,,,,,363.314530776,,,,,,,,
,,,4,,,,,,,,,,,,41083.261813717,,,1763174805.9700596,,,,,,4,,1.149247646331787,,,8192000.0,20730.84109692501,84.1734619140625,,0.808570146560669,,,,,,24317,,,,,,,,,,,,,,,,413.16187491,,,,,,,,
,,,5,,,,,,,,,,,,41097.038597570434,,,1763174855.8037314,,,,,,5,,1.1523857116699219,,,10240000.0,23011.581671512075,83.822509765625,,0.8105946183204651,,,,,,24503,,,,,,,,,,,,,,,,462.994669565,,,,,,,,
,,,6,,,,,,,,,,,,41102.38759749983,,,1763174905.6301928,,,,,,6,,1.1519086360931396,,,12288000.0,24833.267503633495,83.7178726196289,,0.810512125492096,,,,,,24429,,,,,,,,,,,,,,,,512.820865797,,,,,,,,
,,,7,,,,,,,,,,,,41086.633462132224,,,1763174955.4767087,,,,,,7,,1.1512571573257446,,,14336000.0,26320.717736813385,83.67300415039062,,0.8107602000236511,,,,,,24572,,,,,,,,,,,,,,,,562.667311481,,,,,,,,
,,,8,,,,,,,,,,,,41086.75727138902,,,1763175005.3218374,,,,,,8,,1.1577630043029785,,,16384000.0,27558.749182264488,82.95914459228516,,0.8139469027519226,,,,,,24622,,,,,,,,,,,,,,,,612.513543963,,,,,,,,
,,,9,,,,,,,,,,,,41097.02994622238,,,1763175055.1556664,,,,,,9,,1.1532870531082153,,,18432000.0,28605.79226169841,83.38501739501953,,0.8114516735076904,,,,,,24503,,,,,,,,,,,,,,,,662.349968052,,,,,,,,
