eval_video/len_s/h4_thrust_aim,timing/sps,eval_video/return_s/h3_point_the_thruster,eval_avg/return_s/h5_rotate_fall,eval_video/len_s/h0_weak_thrust,eval_avg/solve_rate_s/h1_thrust_over_ball,episode_length,timing/num_updates,eval_video/len_s/h8_unicycle_balance,eval_avg/return_s/h8_unicycle_balance,eval_video/len_s/h6_unicycle_right,_step,media/eval_video_s/h3_point_the_thruster,media/eval_video_s/h7_unicycle_left,media/eval_video_s/h1_thrust_over_ball,media/eval_video_s/h2_one_wheel_car,media/eval_video_s/h6_unicycle_right,timing/sps_agg,eval_video/return_s/h1_thrust_over_ball,media/eval_video_s/h4_thrust_aim,eval_avg/solve_rate_s/h5_rotate_fall,media/eval_video_s/h0_weak_thrust,eval_avg/solve_rate_s/h7_unicycle_left,media/eval_video_s/h5_rotate_fall,eval/mean_eval_solve,media/eval_video_s/h9_explode_then_thrust_over,eval_video/return_s/h7_unicycle_left,media/eval_video_s/h8_unicycle_balance,eval_avg/solve_rate_s/h8_unicycle_balance,eval_video/return_s/h2_one_wheel_car,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/return_s/h4_thrust_aim,eval_avg/return_s/h2_one_wheel_car,eval_video/len_s/h3_point_the_thruster,eval_video/return_s/h6_unicycle_right,_runtime,eval_avg/return_s/h1_thrust_over_ball,eval_video/return_s/h8_unicycle_balance,timing/num_env_steps,eval_avg/return_s/h9_explode_then_thrust_over,num_completed_episodes,eval_avg/solve_rate_s/h4_thrust_aim,eval_video/return_s/h0_weak_thrust,eval_video/return_s/h5_rotate_fall,eval_video/len_s/h2_one_wheel_car,eval_avg/return_s/h4_thrust_aim,eval/mean_eval_return,eval_avg/return_s/h7_unicycle_left,eval_avg/return_s/h6_unicycle_right,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h3_point_the_thruster,episode_solved,eval_video/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h3_point_the_thruster,eval_video/len_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h0_weak_thrust,eval/mean_eval_eplen,_timestamp,eval_avg/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h6_unicycle_right,eval_video/len_s/h9_explode_then_thrust_over,eval_avg/solve_rate_s/h9_explode_then_thrust_over,episode_return,eval_video/len_s/h5_rotate_fall
24.0,10916.69489174841,-0.046648383140563965,0.2956817150115967,23.0,0.0,190.24057006835938,0,21.0,-0.2654978930950165,255.0,0,"{'height': 125, 'path': 'media/videos/media/eval_video_s/h3_point_the_thruster_0_0e07a942b6e840722e1c.gif', 'sha256': '0e07a942b6e840722e1c9327c71776a1689a410ad3d94183635640b4874feca5', 'size': 24078, 'width': 125, '_type': 'video-file'}","{'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h7_unicycle_left_0_3398f3e48f0e77fd72f3.gif', 'sha256': '3398f3e48f0e77fd72f34c42e2e88f2d24441f1b79b7dc14e750a1be3d5b2162', 'size': 20203}","{'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h1_thrust_over_ball_0_c38063ae8837c73ec47d.gif', 'sha256': 'c38063ae8837c73ec47dbb3343cfd634977c2694be5fa60c2c64986a3e5bf183', 'size': 5211}","{'path': 'media/videos/media/eval_video_s/h2_one_wheel_car_0_8ca7d81ec6d2e33ea205.gif', 'sha256': '8ca7d81ec6d2e33ea2051bffcccd78d54c9ad4c7df1bc7bc972863f5fdd6fddd', 'size': 14581, 'width': 125, '_type': 'video-file', 'height': 125}","{'_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h6_unicycle_right_0_8fad49bc2023885d6fca.gif', 'sha256': '8fad49bc2023885d6fcae6c733231a1005b6b065fd58263c7afce80e6828f790', 'size': 20183, 'width': 125}",0.0,-0.5397071838378906,"{'_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h4_thrust_aim_0_31ff6efeab9fca5ba694.gif', 'sha256': '31ff6efeab9fca5ba69404ab5cf62647f9f462a55473368579718c9a08959889', 'size': 4033, 'width': 125}",0.25,"{'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h0_weak_thrust_0_46f2a1cb52c94e823475.gif', 'sha256': '46f2a1cb52c94e82347539d6e5dd1f125ccc28e1ee538696e7bb1110d23fd9a4', 'size': 5076}",0.0,"{'size': 3803, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h5_rotate_fall_0_fddf84203404391a247f.gif', 'sha256': 'fddf84203404391a247f5ae1f0e95718c0b7f4ea2a0297c0ae1e3203ee6eeeed'}",0.055000003427267075,"{'_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h9_explode_then_thrust_over_0_81050a55d7cf49d52a6d.gif', 'sha256': '81050a55d7cf49d52a6d59cc06a3848508f712e0018fba2feb5d725da6dc9398', 'size': 51005, 'width': 125}",-0.17976433038711548,"{'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h8_unicycle_balance_0_0e08e33b11343fcce317.gif', 'sha256': '0e08e33b11343fcce3175cdfca2ad2ad69774661f28c03769f441398352f821a', 'size': 3905}",0.15000000596046448,-0.04886362701654434,0.0,-0.3299311399459839,-0.05002589896321297,255.0,0.16407549381256104,211.962219495,-0.5540512204170227,-0.5168932676315308,0,-0.4476749897003174,9577,0.0,-0.7483974695205688,-0.20924293994903564,255.0,0.06900659948587418,-0.16583304107189178,-0.10238359123468399,0.06041496992111206,255.0,0.15000000596046448,0.2182311862707138,-0.6448535919189453,0.14636047184467316,20.0,0.0,160.53001403808594,1763137439.1548603,-0.8101604580879211,0.0,255.0,0.0,-0.22066427767276764,26.0
,37347.63945773458,,,,,196.4099578857422,1,,,,1,,,,,,8447.485115115489,,,,,,,,,,,,,,,,,,261.501953939,,,2048000,,10423,,,,,,,,,,,0.2056029886007309,,,,,,1763137488.6854768,,,,,-0.20341521501541138,
,41275.218651489806,,,,,195.38438415527344,2,,,,2,,,,,,14024.65146779777,,,,,,,,,,,,,,,,,,311.120100569,,,4096000,,10526,,,,,,,,,,,0.20739121735095978,,,,,,1763137538.3040817,,,,,-0.20641076564788818,
,41224.721372272485,,,,,195.6102752685547,3,,,,3,,,,,,17978.785512014467,,,,,,,,,,,,,,,,,,360.797050592,,,6144000,,10428,,,,,,,,,,,0.2125047892332077,,,,,,1763137587.9829302,,,,,-0.1945500373840332,
,41154.998738822054,,,,,196.83468627929688,4,,,,4,,,,,,20924.692087005205,,,,,,,,,,,,,,,,,,410.563290442,,,8192000,,10429,,,,,,,,,,,0.19867676496505737,,,,,,1763137637.7458146,,,,,-0.21725308895111084,
,41111.53472001793,,,,,196.33834838867188,5,,,,5,,,,,,23203.38644307486,,,,,,,,,,,,,,,,,,460.377075344,,,10240000,,10442,,,,,,,,,,,0.20254740118980408,,,,,,1763137687.5616536,,,,,-0.21896204352378845,
,41114.66226646766,,,,,196.04708862304688,6,,,,6,,,,,,25020.014878837486,,,,,,,,,,,,,,,,,,510.193438198,,,12288000,,10426,,,,,,,,,,,0.21158641576766968,,,,,,1763137737.3739204,,,,,-0.19393041729927063,
,41095.72284802857,,,,,196.9889373779297,7,,,,7,,,,,,26500.953085630037,,,,,,,,,,,,,,,,,,560.029374038,,,14336000,,10391,,,,,,,,,,,0.19978827238082886,,,,,,1763137787.2082183,,,,,-0.2104705274105072,
,41120.352260203836,,,,,195.89625549316406,8,,,,8,,,,,,27733.452283521725,,,,,,,,,,,,,,,,,,609.831553343,,,16384000,,10448,,,,,,,,,,,0.20673812925815582,,,,,,1763137837.013354,,,,,-0.2118515819311142,
,41119.7940161235,,,,,195.48631286621094,9,,,,9,,,,,,28774.26529099605,,,,,,,,,,,,,,,,,,659.63603328,,,18432000,,10522,,,,,,,,,,,0.20138756930828094,,,,,,1763137886.8189714,,,,,-0.22254979610443115,
