eval_video/len_s/h2_one_wheel_car,eval_avg/return_s/h7_unicycle_left,media/eval_video_s/h2_one_wheel_car,episode_length,eval_video/return_s/h5_rotate_fall,eval_video/len_s/h4_thrust_aim,timing/sps_agg,eval_video/len_s/h9_explode_then_thrust_over,media/eval_video_s/h8_unicycle_balance,eval_avg/solve_rate_s/h4_thrust_aim,eval_avg/solve_rate_s/h7_unicycle_left,eval_avg/return_s/h6_unicycle_right,eval_avg/return_s/h3_point_the_thruster,timing/num_updates,media/eval_video_s/h6_unicycle_right,eval_video/return_s/h2_one_wheel_car,eval_video/return_s/h7_unicycle_left,media/eval_video_s/h0_weak_thrust,eval_avg/return_s/h2_one_wheel_car,_timestamp,eval_avg/return_s/h5_rotate_fall,eval_video/return_s/h8_unicycle_balance,eval_video/len_s/h0_weak_thrust,media/eval_video_s/h5_rotate_fall,media/eval_video_s/h7_unicycle_left,eval_avg/solve_rate_s/h8_unicycle_balance,eval_avg/return_s/h9_explode_then_thrust_over,eval_avg/solve_rate_s/h2_one_wheel_car,timing/sps,eval/mean_eval_eplen,_step,eval/mean_eval_return,eval_avg/solve_rate_s/h5_rotate_fall,media/eval_video_s/h1_thrust_over_ball,eval_avg/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h3_point_the_thruster,eval_video/len_s/h6_unicycle_right,eval_avg/return_s/h8_unicycle_balance,media/eval_video_s/h4_thrust_aim,num_completed_episodes,eval_video/len_s/h3_point_the_thruster,eval_video/return_s/h9_explode_then_thrust_over,eval_video/return_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h0_weak_thrust,episode_return,eval_video/return_s/h3_point_the_thruster,eval_avg/return_s/h1_thrust_over_ball,_runtime,eval_avg/solve_rate_s/h9_explode_then_thrust_over,media/eval_video_s/h3_point_the_thruster,media/eval_video_s/h9_explode_then_thrust_over,eval_video/return_s/h0_weak_thrust,eval_video/len_s/h1_thrust_over_ball,eval_video/len_s/h5_rotate_fall,eval_avg/solve_rate_s/h1_thrust_over_ball,eval_video/len_s/h7_unicycle_left,eval_avg/return_s/h4_thrust_aim,eval_avg/solve_rate_s/h6_unicycle_right,timing/num_env_steps,episode_solved,eval_video/return_s/h4_thrust_aim,eval_video/len_s/h8_unicycle_balance,eval_video/return_s/h6_unicycle_right,eval/mean_eval_solve
255.0,-0.10238359123468399,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '8ca7d81ec6d2e33ea2051bffcccd78d54c9ad4c7df1bc7bc972863f5fdd6fddd', 'path': 'media/videos/media/eval_video_s/h2_one_wheel_car_0_8ca7d81ec6d2e33ea205.gif', 'size': 14581}",255.58628845214844,-0.20924293994903564,24.0,0.0,255.0,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '0e08e33b11343fcce3175cdfca2ad2ad69774661f28c03769f441398352f821a', 'path': 'media/videos/media/eval_video_s/h8_unicycle_balance_0_0e08e33b11343fcce317.gif', 'size': 3905}",0.0,0.0,0.06041496992111206,0.14636047184467316,0,"{'sha256': '8fad49bc2023885d6fcae6c733231a1005b6b065fd58263c7afce80e6828f790', 'path': 'media/videos/media/eval_video_s/h6_unicycle_right_0_8fad49bc2023885d6fca.gif', 'size': 20183, '_type': 'video-file', 'width': 125, 'height': 125}",-0.04886362701654434,-0.17976433038711548,"{'size': 5076, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '46f2a1cb52c94e82347539d6e5dd1f125ccc28e1ee538696e7bb1110d23fd9a4', 'path': 'media/videos/media/eval_video_s/h0_weak_thrust_0_46f2a1cb52c94e823475.gif'}",-0.05002591758966446,1763182582.470855,0.2956817150115967,-0.5168932676315308,23.0,"{'size': 3803, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': 'fddf84203404391a247f5ae1f0e95718c0b7f4ea2a0297c0ae1e3203ee6eeeed', 'path': 'media/videos/media/eval_video_s/h5_rotate_fall_0_fddf84203404391a247f.gif'}","{'path': 'media/videos/media/eval_video_s/h7_unicycle_left_0_3398f3e48f0e77fd72f3.gif', 'size': 20203, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '3398f3e48f0e77fd72f34c42e2e88f2d24441f1b79b7dc14e750a1be3d5b2162'}",0.15000000596046448,-0.4476688504219055,0.0,10990.85240382725,160.53001403808594,0,-0.16583243012428284,0.25,"{'size': 5211, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': 'c38063ae8837c73ec47dbb3343cfd634977c2694be5fa60c2c64986a3e5bf183', 'path': 'media/videos/media/eval_video_s/h1_thrust_over_ball_0_c38063ae8837c73ec47d.gif'}",-0.8101604580879211,0.15000000596046448,255.0,-0.2654978930950165,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '31ff6efeab9fca5ba69404ab5cf62647f9f462a55473368579718c9a08959889', 'path': 'media/videos/media/eval_video_s/h4_thrust_aim_0_31ff6efeab9fca5ba694.gif', 'size': 4033}",6171,255.0,-0.6448535919189453,-0.5397071838378906,0.0,0.4113159477710724,-0.046648383140563965,-0.5540512204170227,210.571336487,0.0,"{'size': 24078, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '0e07a942b6e840722e1c9327c71776a1689a410ad3d94183635640b4874feca5', 'path': 'media/videos/media/eval_video_s/h3_point_the_thruster_0_0e07a942b6e840722e1c.gif'}","{'size': 51005, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '81050a55d7cf49d52a6d59cc06a3848508f712e0018fba2feb5d725da6dc9398', 'path': 'media/videos/media/eval_video_s/h9_explode_then_thrust_over_0_81050a55d7cf49d52a6d.gif'}",-0.7483974695205688,20.0,26.0,0.0,255.0,0.06900662183761597,0.0,0.0,0.00502349715679884,-0.3299311399459839,21.0,0.16407549381256104,0.055000003427267075
,,,255.77456665039062,,,8500.439785822278,,,,,,,1,,,,,,1763182631.785379,,,,,,,,,37514.90450117471,,1,,,,,,,,,8202,,,,,0.4066931903362274,,,259.892545107,,,,,,,,,,,2048000.0,0.002804194111377001,,,,
,,,255.7557373046875,,,14108.200529221847,,,,,,,2,,,,,,1763182681.1846194,,,,,,,,,41458.422219049455,,2,,,,,,,,,8192,,,,,0.40679430961608887,,,309.286555432,,,,,,,,,,,4096000.0,0.0029296875,,,,
,,,255.75039672851562,,,18085.538109214962,,,,,,,3,,,,,,1763182730.5757232,,,,,,,,,41464.75118138392,,3,,,,,,,,,8193,,,,,0.40634751319885254,,,358.680297305,,,,,,,,,,,6144000.0,0.002319052815437317,,,,
,,,255.8557586669922,,,21052.05664459234,,,,,,,4,,,,,,1763182779.9872622,,,,,,,,,41447.691914866,,4,,,,,,,,,8188,,,,,0.4076804220676422,,,408.090807996,,,,,,,,,,,8192000.0,0.0015876892721280456,,,,
,,,255.8061065673828,,,23348.982524078772,,,,,,,5,,,,,,1763182829.4198444,,,,,,,,,41430.333153733,,5,,,,,,,,,8185,,,,,0.40683478116989136,,,457.522347551,,,,,,,,,,,10240000.0,0.002443494275212288,,,,
,,,255.65771484375,,,25181.49175695033,,,,,,,6,,,,,,1763182878.83365,,,,,,,,,41445.37754616417,,6,,,,,,,,,8189,,,,,0.40425539016723633,,,506.93699032,,,,,,,,,,,12288000.0,0.0024423005525022745,,,,
,,,255.76817321777344,,,26675.96793162405,,,,,,,7,,,,,,1763182928.2688584,,,,,,,,,41428.04809594759,,7,,,,,,,,,8187,,,,,0.4086597263813019,,,556.374604307,,,,,,,,,,,14336000.0,0.002809331752359867,,,,
,,,255.64776611328125,,,27919.251240575395,,,,,,,8,,,,,,1763182977.6917064,,,,,,,,,41438.47337224711,,8,,,,,,,,,8185,,,,,0.41046521067619324,,,605.795843142,,,,,,,,,,,16384000.0,0.004031765274703503,,,,
,,,255.7314453125,,,28969.116989803213,,,,,,,9,,,,,,1763183027.1196756,,,,,,,,,41433.53377733698,,9,,,,,,,,,8181,,,,,0.4074437618255615,,,655.226451086,,,,,,,,,,,18432000.0,0.002689157845452428,,,,
,,,255.63536071777344,,,29868.00930633338,,,,,,,10,,,,,,1763183076.5399935,,,,,,,,,41440.983096827586,,10,,,,,,,,,6368,,,,,0.40579038858413696,,,704.642253394,,,,,,,,,,,20480000.0,0.00329773873090744,,,,
,,,255.83396911621094,,,30645.794512132663,,,,,,,11,,,,,,1763183125.965282,,,,,,,,,41436.05069887497,,11,,,,,,,,,8173,,,,,0.403911292552948,,,754.06927631,,,,,,,,,,,22528000.0,0.0017129572806879878,,,,
,,,255.80303955078125,,,31325.494206078263,,,,,,,12,,,,,,1763183175.393417,,,,,,,,,41434.27005467223,,12,,,,,,,,,8169,,,,,0.4066075086593628,,,803.49784701,,,,,,,,,,,24576000.0,0.001958623994141817,,,,
,,,255.7468719482422,,,31924.25150323703,,,,,,,13,,,,,,1763183224.8307724,,,,,,,,,41426.1023189983,,13,,,,,,,,,8166,,,,,0.40783050656318665,,,852.93503533,,,,,,,,,,,26624000.0,0.002449179533869028,,,,
,,,255.72308349609375,,,32456.672190835598,,,,,,,14,,,,,,1763183274.2501235,,,,,,,,,41441.58608375733,,14,,,,,,,,,8165,,,,,0.4094986021518707,,,902.35206519,,,,,,,,,,,28672000.0,0.0030618493910878897,,,,
,,,255.6618194580078,,,32932.648182291916,,,,,,,15,,,,,,1763183323.6696544,,,,,,,,,41440.84914654285,,15,,,,,,,,,8176,,,,,0.4081178307533264,,,951.77620802,,,,,,,,,,,30720000.0,0.0034246575087308884,,,,
